id,quarter,swimlane,position,status,title,description,icon,wb1,wb2,wb3,wb4,wb5,wb6,business_case,what_success,analysis,analysis_url
17,4,Other,13,Prioritized,Leaderboard Improvements,,new,Examples:,New methods for scoring,Handle Multi-Entry,Add info to header,Auto-fulfill,,"Continue to monitor the performance of Leaderboards. If Leaderboards is a feature we want to build upon, we will explore ways to make the Leaderboard feature more appealing (see examples)",Increase revenue from Leaderboards by X%,Track leaderboard performance using this link:,https://docs.google.com/spreadsheets/u/1/d/1zQziGegCS_73x8qwry9T9keHXjtaSc2FTnHtKiQmlpw/edit#gid=0
18,4,Partnerships,13,Prioritized,2nd FanDuel Live,"+$500k in direct revenue, +$500k in media value",new,Design for 2nd partner,Integrate Content,,,,,"<b>Built if sold</b> Integrating a second partner on the Live Scoring page to further enhance the user's experience. Depending on the integrated partner, we would be able to serve content that is relevant to the user when the contest is live. For example, a partner like Sling could provide access to NFL Red Zone that our users could consume <i>only</i> if they've entered a contest",(1) Sign a second partner to drive +$500k of value<br>(2) Increase engagemet on the Live Scoring page,n/a,
19,4,Partnerships,14,Prioritized,Pixel Expansion,Increase speed of integrating partners that don't use Sizmek,new,,,,,,,"Potential partners currently have only one option for third-party tracking, Sizmek. For clients with specific tracking needs, we risk losing potential partnerships.","In addition to Sizmek, add 2 additional third party trackers",n/a,
20,4,Partnerships,15,Prioritized,Data Sharing for Partners,+$300k per year,new,,,,,,,Ensure we have a solution to securely sell user data to partners,Drive $300k of incremental revenue without affecting the user's FanDuel experience,n/a,
21,4,Partnerships,16,Prioritized,SamsungPay,+$1.5m in 2017 (direct revenue),down,SamsungPay SDK,,,,,,"Built if sold: Integrate Samsung pay as first digital payment solution driving direct revenue, enhancing payment system, and opening the door for more payment providers.<br>(1) Reduce barrier to deposit<br>(2) integrate FanDuel into Samsung experience to drive FTDs and increased play.",We receive $1.5m in direct 2017 revenue.,n/a,
100,5,Pebbles,1,Done,FTD page - Remove Extra Reward,Reward language was irrelevant,,,,,,,,NFL season is coming to an end. A reward related to the Sunday Million was irrelevant and needed to be removed,,n/a,
101,5,Pebbles,2,Done,PB 2.0 - NBA,,,,,,,,,Part of Playbook 2.0,,n/a,
102,5,Pebbles,3,Done,Dep Page - cardholder name validation,,,,,,,,,,,n/a,
103,5,Pebbles,4,Done,Restricted Location Copy,,,,,,,,,Language to match program specifics,,n/a,
104,5,Pebbles,5,Done,Referral Center Copy,,,,,,,,,Language to match program specifics,,n/a,
105,5,Pebbles,6,Done,PB 2.0 - Rhelief,,,,,,,,,Part of Playbook 2.0,,n/a,
106,5,Pebbles,7,Done,PB 2.0 - Chef's Cut,,updated,,,,,,,Part of Playbook 2.0,,n/a,
107,5,Pebbles,8,Done,ALC: SHA1 and MD5,+$72k annually,updated,,,,,,,"ALC Lobby tags were implemented in SLAM-138, but using SHA-256 only. There's a desire to also use SHA-1 and MD5 to increase our likelihood for matching with ALC.<BR>With SHA-256, only $3k per month. Adding SHA-1 and MD-5 would potentially double / triple that (+$6k per month, $72k per year)",We receive $9k per month from ALC. Will check in with Clif at the end of April 2017,n/a,
108,5,Pebbles,9,Done,Review Extole,,new,,,,,,,"Our current referral program does not allow us to track the status of pending invites; a third party solution will allow us to provide advocates with easy visibility into the status of their invites and drive higher referral FTD volume through a number of programs. Before we select a vendor, we must ensure we have the ability to integrate technically. The scope here is just a technical assesment of the ease of integration.",,n/a,https://drive.google.com/open?id=0B1ry7SLHR6iqMTRreE5jbHlRd2s
109,5,Pebbles,10,In Progress,PB 2.0 - Bud Light,,new,,,,,,,Part of Playbook 2.0,,n/a,
110,5,Pebbles,11,In Progress,Links on Homepage Footer,Improve SEO,new,,,,,,,Improve SEO,,n/a,
111,5,Pebbles,12,Prioritized,Microphone on Homepage,+3% Impact on New User Payback,,,,,,,,"Removing the microphone in 2016 resulted in a 3% increase in CPF. With an expected $25M in spend this year, that amounts to $750K worth of value if we bring back the microphone","We will conduct a pre-post analysis against 2015 and 2016 to determine whether we increased new user conversions. Additionally, we will monitor the increased usage in Promocodes and whether there was an increase in costs",Not available yet,https://drive.google.com/open?id=0B1FQX_fk6pTNMmNWQXpRZC1obGM
112,5,Pebbles,13,Prioritized,TuneIn Layout Changes,,new,,,,,,,"Client requested changes to copy and layout:<BR>(1) For large screen web, copy change<BR>(2) For small screen web, match design to apps",,n/a,
113,5,Pebbles,14,Prioritized,Dropped Player Bug,,,,,,,,,"If an athlete is dropped from a team or traded out of a given slate that's already posted in the Lobby, then that athlete's spot disappears from any lineup that was previously made with him/her, and users are unable to edit over that spot. This leaves users competing with 8-person lineups instead of 9.<BR>Potential costs vary greatly depending on ownership % of traded athletes Per Jacob's estimations, costs range from 50k/year if traded athletes are 1% owned to 2.5M/year if athletes are 50% owned.",Reduce refunds associated with traded athetes to $0,n/a,https://drive.google.com/open?id=0B1FQX_fk6pTNTjZ2c3RfOC1KVTg
114,5,Pebbles,15,Prioritized,Review Ticketing Improvements,Ticketing project estimated value $6M per year,,,,,,,,"We are looking to improve our ticketing process, in order to drive revenue and reduce operational cost of the existing system. Some of the proposed changes will require web/mobile/api changes (e.g. reserve using empty roster). We require some time from web/mobile/api engineers to help assess the complexity of these features",We have a better understanding of the work and costs of supporting the improved ticketing process,n/a,
115,5,Pebbles,16,Prioritized,250+ Lineup Bug,,,,,,,,,"When a user has at least 250 entries in one slate and at least 1 entry in a different sport, they lose the ability to filter their Upcoming page by sport.",Bug is fixed,n/a,
116,5,Pebbles,17,Prioritized,Disappearing Weather Icon,User experience improvement for MLB,,,,,,,,"MLB player cards show a weather icon depicting the expected weather for that player's game. If you look at more than one player from the same game, the weather icon no longer appears on the player card.",Bug is fixed,n/a,
117,5,Pebbles,18,Prioritized,Enable Qualaroo JS on Seat page,"Faciliate Qualaroo, understand ad impact on reactivation / retention",,,,,,,,"<b>Hypothesis</b> - Ad spend aimed primarily at acquiring customers has a secondary benefit of improving retention and reactivation for existing customers.  We want to survey users (and capturing user_id level responses) at point of first game entry, asking them what drove them to play that day.",We can survey customers on Seat page via Qualaroo,n/a,
